#{"t_start": 1632727181.1967397, "env_id": null}
r,l,t
-0.738095,12,48.581762
1.214286,10,48.610157
-9.738095,12,48.640111
1.166667,8,48.662998
1.357143,16,48.706734
1.238095,11,48.737243
1.142857,7,48.758187
1.190476,9,48.783755
1.190476,9,48.809452
1.261905,12,48.841978
1.309524,14,48.881049
1.261905,12,48.912968
1.166667,8,49.058233
1.238095,11,49.089859
-0.809524,9,49.117784
-0.738095,12,49.156854
1.214286,10,49.18578
1.285714,13,49.222561
-9.738095,12,49.25648
-0.904762,5,49.27144
-9.619048,17,49.31761
1.214286,10,49.345539
-0.880952,6,49.364488
-9.761905,11,49.395396
-0.809524,9,49.421326
1.238095,11,49.451945
-0.880952,6,49.471413
1.119048,6,49.48894
-9.761905,11,49.519065
1.238095,11,49.548429
-0.880952,6,49.566253
-9.738095,12,49.598168
1.214286,10,49.626123
1.142857,7,49.647067
1.119048,6,49.664022
1.238095,11,49.694128
-0.833333,8,49.71812
1.285714,13,49.752946
-0.833333,8,49.901207
-0.785714,10,49.930016
-0.809524,9,49.958982
1.238095,11,49.994251
1.285714,13,50.033133
1.285714,13,50.070012
-0.833333,8,50.095129
1.238095,11,50.12904
1.166667,8,50.154965
-0.833333,8,50.18294
-0.809524,9,50.211923
-0.785714,10,50.242913
-0.833333,8,50.269225
-0.857143,7,50.300148
1.142857,7,50.321009
1.095238,5,50.338961
1.238095,11,50.371004
-9.738095,12,50.404859
-0.833333,8,50.431322
1.119048,6,50.449275
1.095238,5,50.46623
-0.857143,7,50.488898
1.119048,6,50.508826
1.285714,13,50.552531
1.095238,5,50.570037
1.309524,14,50.615393
-0.738095,12,50.655159
1.261905,12,50.692844
1.166667,8,50.845906
-0.761905,11,50.881454
-0.833333,8,50.906422
1.261905,12,50.941797
-0.785714,10,50.973129
1.119048,6,50.990083
1.190476,9,51.017011
-0.904762,5,51.034419
-0.690476,14,51.074436
-9.690476,14,51.113539
-0.714286,13,51.154967
1.190476,9,51.18392
1.095238,5,51.199949
1.214286,10,51.230919
1.095238,5,51.246534
-0.785714,10,51.276508
-9.666667,15,51.315517
1.190476,9,51.341107
1.166667,8,51.36604
-9.642857,16,51.408062
-0.714286,13,51.445723
1.309524,14,51.491558
-0.761905,11,51.526978
1.285714,13,51.565052
-0.809524,9,51.593296
1.119048,6,51.737122
1.166667,8,51.759095
1.142857,7,51.780976
1.119048,6,51.799843
-0.833333,8,51.825504
1.190476,9,51.85455
-0.738095,12,51.891178
-0.880952,6,51.911124
-9.761905,11,51.942083
1.095238,5,51.956044
1.166667,8,51.97998
-0.761905,11,52.012892
1.142857,7,52.033836
1.142857,7,52.053782
1.190476,9,52.081348
1.238095,11,52.111991
-0.738095,12,52.147422
1.261905,12,52.183502
1.309524,14,52.223098
1.214286,10,52.251967
1.285714,13,52.288868
1.214286,10,52.319753
-0.809524,9,52.347678
1.166667,8,52.373166
1.119048,6,52.391104
-9.714286,13,52.426955
1.190476,9,52.453018
-0.738095,12,52.488928
-0.857143,7,52.661633
1.190476,9,52.691185
-0.833333,8,52.717061
-9.642857,16,52.763543
-9.666667,15,52.805517
-9.738095,12,52.838561
-9.714286,13,52.88552
-0.714286,13,52.929558
1.357143,16,52.976461
-0.809524,9,53.006457
-0.809524,9,53.035717
-0.880952,6,53.055692
-9.809524,9,53.08146
1.166667,8,53.107114
1.071429,4,53.122073
1.285714,13,53.162964
1.071429,4,53.176929
1.119048,6,53.196876
1.190476,9,53.222595
1.071429,4,53.236537
1.261905,12,53.272274
-0.690476,14,53.32028
1.214286,10,53.353161
1.142857,7,53.377097
1.119048,6,53.398041
1.285714,13,53.439929
-0.857143,7,53.593422
-0.761905,11,53.626485
-9.785714,10,53.655627
1.238095,11,53.69031
1.214286,10,53.723129
1.166667,8,53.752083
1.071429,4,53.771028
1.261905,12,53.818663
-9.642857,16,53.869102
1.214286,10,53.900564
1.261905,12,53.935843
1.333333,15,53.98053
-9.714286,13,54.018143
-0.809524,9,54.046509
-0.761905,11,54.081439
-9.666667,15,54.124034
-9.761905,11,54.155061
-0.738095,12,54.190991
-9.785714,10,54.217919
-0.857143,7,54.240429
-0.761905,11,54.274728
1.142857,7,54.295955
-9.714286,13,54.331859
1.142857,7,54.352096
1.166667,8,54.376032
1.095238,5,54.518806
1.119048,6,54.536874
-0.809524,9,54.563183
-0.857143,7,54.585791
-9.738095,12,54.619239
1.190476,9,54.645199
1.166667,8,54.667284
-9.714286,13,54.702836
-0.857143,7,54.724777
1.095238,5,54.740607
-0.761905,11,54.774643
-9.714286,13,54.811195
1.095238,5,54.828114
-0.880952,6,54.847064
-0.785714,10,54.880271
-9.690476,14,54.929097
1.071429,4,54.944067
1.238095,11,54.985955
1.333333,15,55.033745
1.095238,5,55.052725
1.238095,11,55.088619
1.095238,5,55.105772
1.261905,12,55.143725
1.095238,5,55.161107
1.214286,10,55.192136
-0.809524,9,55.222049
-9.642857,16,55.270448
1.142857,7,55.29496
1.119048,6,55.316905
1.166667,8,55.482125
-9.738095,12,55.519062
1.238095,11,55.557165
-0.833333,8,55.584084
1.071429,4,55.598888
-9.666667,15,55.645245
1.142857,7,55.668216
1.190476,9,55.69728
1.119048,6,55.71723
-9.738095,12,55.756126
1.142857,7,55.780063
1.238095,11,55.815655
-0.785714,10,55.849047
1.190476,9,55.877517
1.238095,11,55.912469
1.238095,11,55.947683
-9.738095,12,55.981985
1.142857,7,56.004008
-0.785714,10,56.033957
1.261905,12,56.072847
